taxonKey	scientificName	acceptedTaxonKey	acceptedScientificName	numberOfOccurrences	taxonRank	taxonomicStatus	kingdom	kingdomKey	phylum	phylumKey	class	classKey	order	orderKey	family	familyKey	genus	genusKey	species	speciesKey	iucnRedListCategory
6Q5LV	Leucochloron incuriale (Vell.) Barneby & J.W.Grimes	6Q5LV	Leucochloron incuriale (Vell.) Barneby & J.W.Grimes	2	SPECIES	ACCEPTED	Plantae	P	Tracheophyta	TP	Magnoliopsida	MG	Fabales	383	Fabaceae	623QT	Leucochloron	9CL75	Leucochloron incuriale	6Q5LV	LC
6WTWF	Rhamnidium elaeocarpum Reissek	6WTWF	Rhamnidium elaeocarpum Reissek	1	SPECIES	ACCEPTED	Plantae	P	Tracheophyta	TP	Magnoliopsida	MG	Rosales	3Z6	Rhamnaceae	FN6	Rhamnidium	78C5	Rhamnidium elaeocarpum	6WTWF	LC
7NQM3	Begonia L.	7NQM3	Begonia L.	6	GENUS	ACCEPTED	Plantae	P	Tracheophyta	TP	Magnoliopsida	MG	Cucurbitales	32L	Begoniaceae	7NG4T	Begonia	7NQM3			
499K6	Olyra ciliatifolia Raddi	499K6	Olyra ciliatifolia Raddi	2	SPECIES	ACCEPTED	Plantae	P	Tracheophyta	TP	Liliopsida	L2L	Poales	627VM	Poaceae	627FW	Olyra	8VZVJ	Olyra ciliatifolia	499K6	
HK5Z	Asplenium cristatum Lam.	HK5Z	Asplenium cristatum Lam.	2	SPECIES	ACCEPTED	Plantae	P	Tracheophyta	TP	Polypodiopsida	GV	Polypodiales	3VL	Aspleniaceae	6TQ	Asplenium	346X	Asplenium cristatum	HK5Z	
462H8	Nectandra nitidula Nees & Mart. ex Nees	462H8	Nectandra nitidula Nees & Mart. ex Nees	9	SPECIES	ACCEPTED	Plantae	P	Tracheophyta	TP	Magnoliopsida	MG	Laurales	3F8	Lauraceae	BTB	Nectandra	5Y73	Nectandra nitidula	462H8	LC
4BGZP	Oxypetalum erianthum Decne.	4BGZP	Oxypetalum erianthum Decne.	2	SPECIES	ACCEPTED	Plantae	P	Tracheophyta	TP	Magnoliopsida	MG	Gentianales	39D	Apocynaceae	6L2	Oxypetalum	6BF5	Oxypetalum erianthum	4BGZP	
8VW8L	Chrysophyllum L.	8VW8L	Chrysophyllum L.	3	GENUS	ACCEPTED	Plantae	P	Tracheophyta	TP	Magnoliopsida	MG	Ericales	625QY	Sapotaceae	SMQQD	Chrysophyllum	8VW8L			
37FHZ	Doryopteris concolor (Langsd. & Fisch.) Kuhn	37FHZ	Doryopteris concolor (Langsd. & Fisch.) Kuhn	5	SPECIES	ACCEPTED	Plantae	P	Tracheophyta	TP	Polypodiopsida	GV	Polypodiales	3VL	Pteridaceae	FCF	Doryopteris	47YC	Doryopteris concolor	37FHZ	
4WP3D	Senegalia polyphylla (DC.) Britton & Rose	4WP3D	Senegalia polyphylla (DC.) Britton & Rose	5	SPECIES	ACCEPTED	Plantae	P	Tracheophyta	TP	Magnoliopsida	MG	Fabales	383	Fabaceae	623QT	Senegalia	63SM7	Senegalia polyphylla	4WP3D	LC
GD6G	Ardisia guianensis (Aubl.) Mez	GD6G	Ardisia guianensis (Aubl.) Mez	3	SPECIES	ACCEPTED	Plantae	P	Tracheophyta	TP	Magnoliopsida	MG	Ericales	625QY	Primulaceae	627BN	Ardisia	32G5	Ardisia guianensis	GD6G	CR
5536Y	Tectaria incisa Cav.	5536Y	Tectaria incisa Cav.	4	SPECIES	ACCEPTED	Plantae	P	Tracheophyta	TP	Polypodiopsida	GV	Polypodiales	3VL	Tectariaceae	GY5	Tectaria	7T8Y	Tectaria incisa	5536Y	
456PS	Myracrodruon urundeuva Allemão	456PS	Myracrodruon urundeuva Allemão	8	SPECIES	ACCEPTED	Plantae	P	Tracheophyta	TP	Magnoliopsida	MG	Sapindales	3ZY	Anacardiaceae	6CK	Myracrodruon	5WGZ	Myracrodruon urundeuva	456PS	LC
3XV4N	Manihot grahamii Hook.	3XV4N	Manihot grahamii Hook.	1	SPECIES	ACCEPTED	Plantae	P	Tracheophyta	TP	Magnoliopsida	MG	Malpighiales	MLP	Euphorbiaceae	N7XM4	Manihot	8VZ5C	Manihot grahamii	3XV4N	
NN8K	Buddleja stachyoides Cham. & Schltdl.	NN8K	Buddleja stachyoides Cham. & Schltdl.	1	SPECIES	ACCEPTED	Plantae	P	Tracheophyta	TP	Magnoliopsida	MG	Lamiales	3F4	Scrophulariaceae	G5R	Buddleja	62H6F	Buddleja stachyoides	NN8K	
4J339	Piper aduncum L.	4J339	Piper aduncum L.	2	SPECIES	ACCEPTED	Plantae	P	Tracheophyta	TP	Magnoliopsida	MG	Piperales	623FG	Piperaceae	625NL	Piper	6QRC	Piper aduncum	4J339	LC
78CKL	Pseudananas sagenarius (Arruda) Camargo	7L8HG	Ananas comosus var. bracteatus (Lindl.) Coppens & F.Leal	1	SPECIES	SYNONYM	Plantae	P	Tracheophyta	TP	Liliopsida	L2L	Poales	627VM	Bromeliaceae	622GQ	Ananas	8VTRL	Ananas comosus	66LDM	
68CBY	Banisteriopsis parviflora (A.Juss.) B.Gates	68CBY	Banisteriopsis parviflora (A.Juss.) B.Gates	3	SPECIES	ACCEPTED	Plantae	P	Tracheophyta	TP	Magnoliopsida	MG	Malpighiales	MLP	Malpighiaceae	CD9	Banisteriopsis	37V2	Banisteriopsis parviflora	68CBY	
FC82	Aphelandra longiflora (Lindl.) Profice	FC82	Aphelandra longiflora (Lindl.) Profice	1	SPECIES	ACCEPTED	Plantae	P	Tracheophyta	TP	Magnoliopsida	MG	Lamiales	3F4	Acanthaceae	62332	Aphelandra	YCM	Aphelandra longiflora	FC82	
6XLQG	Sarcoglottis curvisepala Szlach. & Rutk.	6XLQG	Sarcoglottis curvisepala Szlach. & Rutk.	1	SPECIES	ACCEPTED	Plantae	P	Tracheophyta	TP	Liliopsida	L2L	Asparagales	SP	Orchidaceae	DPL	Sarcoglottis	8W3BG	Sarcoglottis curvisepala	6XLQG	
3WYK8	Machaerium scleroxylon Tul.	3WYK8	Machaerium scleroxylon Tul.	2	SPECIES	ACCEPTED	Plantae	P	Tracheophyta	TP	Magnoliopsida	MG	Fabales	383	Fabaceae	623QT	Machaerium	9CJNB	Machaerium scleroxylon	3WYK8	LC
5D6MQ	Zollernia glabra (Spreng.) Yakovlev	5D6MQ	Zollernia glabra (Spreng.) Yakovlev	1	SPECIES	ACCEPTED	Plantae	P	Tracheophyta	TP	Magnoliopsida	MG	Fabales	383	Fabaceae	623QT	Zollernia	9CMHW	Zollernia glabra	5D6MQ	LC
QT4Z	Capsicum baccatum L.	QT4Z	Capsicum baccatum L.	1	SPECIES	ACCEPTED	Plantae	P	Tracheophyta	TP	Magnoliopsida	MG	Solanales	43W	Solanaceae	626XM	Capsicum	3H75	Capsicum baccatum	QT4Z	
5H78	Ludwigia L.	5H78	Ludwigia L.	1	GENUS	ACCEPTED	Plantae	P	Tracheophyta	TP	Magnoliopsida	MG	Myrtales	3LY	Onagraceae	DL8	Ludwigia	5H78			
7Y28	Tournefortia L.	7Y28	Tournefortia L.	4	GENUS	ACCEPTED	Plantae	P	Tracheophyta	TP	Magnoliopsida	MG	Boraginales	TW	Heliotropiaceae	6253L	Tournefortia	7Y28			
582Z4	Trema micranthum (L.) Blume	582Z4	Trema micranthum (L.) Blume	4	SPECIES	ACCEPTED	Plantae	P	Tracheophyta	TP	Magnoliopsida	MG	Rosales	3Z6	Cannabaceae	7NV	Trema	7YPK	Trema micranthum	582Z4	LC
4HWS3	Pimenta pseudocaryophyllus (Gomes) Landrum	4HWS3	Pimenta pseudocaryophyllus (Gomes) Landrum	2	SPECIES	ACCEPTED	Plantae	P	Tracheophyta	TP	Magnoliopsida	MG	Myrtales	3LY	Myrtaceae	D48	Pimenta	6QKQ	Pimenta pseudocaryophyllus	4HWS3	
4K993	Pleroma stenocarpum (DC.) Triana	4K993	Pleroma stenocarpum (DC.) Triana	4	SPECIES	ACCEPTED	Plantae	P	Tracheophyta	TP	Magnoliopsida	MG	Myrtales	3LY	Melastomataceae	CK9	Pleroma	6SJD	Pleroma stenocarpum	4K993	
3KCG3	Heliotropium filiforme Lehm.	3CVQ8	Euploca filiformis (Lehm.) J.I.M.Melo & Semir	1	SPECIES	SYNONYM	Plantae	P	Tracheophyta	TP	Magnoliopsida	MG	Boraginales	TW	Heliotropiaceae	6253L	Euploca	4GDN	Euploca filiformis	3CVQ8	
3KCJX	Heliotropium indicum L.	3KCJX	Heliotropium indicum L.	2	SPECIES	ACCEPTED	Plantae	P	Tracheophyta	TP	Magnoliopsida	MG	Boraginales	TW	Heliotropiaceae	6253L	Heliotropium	62VCK	Heliotropium indicum	3KCJX	
37V2	Banisteriopsis C.B.Rob.	37V2	Banisteriopsis C.B.Rob.	3	GENUS	ACCEPTED	Plantae	P	Tracheophyta	TP	Magnoliopsida	MG	Malpighiales	MLP	Malpighiaceae	CD9	Banisteriopsis	37V2			
3HFG	Cardiospermum L.	3HFG	Cardiospermum L.	3	GENUS	ACCEPTED	Plantae	P	Tracheophyta	TP	Magnoliopsida	MG	Sapindales	3ZY	Sapindaceae	FY3	Cardiospermum	3HFG			
35MSP	Dichondra macrocalyx Meisn.	35MSP	Dichondra macrocalyx Meisn.	2	SPECIES	ACCEPTED	Plantae	P	Tracheophyta	TP	Magnoliopsida	MG	Solanales	43W	Convolvulaceae	8J9	Dichondra	44MQ	Dichondra macrocalyx	35MSP	
3KQZR	Hemionitis tomentosa (Lam.) Raddi	3KQZR	Hemionitis tomentosa (Lam.) Raddi	7	SPECIES	ACCEPTED	Plantae	P	Tracheophyta	TP	Polypodiopsida	GV	Polypodiales	3VL	Pteridaceae	FCF	Hemionitis	4V9F	Hemionitis tomentosa	3KQZR	
58YXC	Tripogandra elata D.R.Hunt	58YXC	Tripogandra elata D.R.Hunt	1	SPECIES	ACCEPTED	Plantae	P	Tracheophyta	TP	Liliopsida	L2L	Commelinales	ZC	Commelinaceae	8GR	Tripogandra	8W4F6	Tripogandra elata	58YXC	
76QT2	Peperomia blanda (Jacq.) Kunth	76QT2	Peperomia blanda (Jacq.) Kunth	5	SPECIES	ACCEPTED	Plantae	P	Tracheophyta	TP	Magnoliopsida	MG	Piperales	623FG	Piperaceae	625NL	Peperomia	6KXF	Peperomia blanda	76QT2	
54LM4	Talinum paniculatum (Jacq.) Gaertn.	54LM4	Talinum paniculatum (Jacq.) Gaertn.	1	SPECIES	ACCEPTED	Plantae	P	Tracheophyta	TP	Magnoliopsida	MG	Caryophyllales	VW	Talinaceae	GWJ	Talinum	7S7R	Talinum paniculatum	54LM4	
BTSFH	Pseudalbizzia niopoides (Spruce ex Benth.) E.J.M.Koenen & Duno	BTSFH	Pseudalbizzia niopoides (Spruce ex Benth.) E.J.M.Koenen & Duno	1	SPECIES	ACCEPTED	Plantae	P	Tracheophyta	TP	Magnoliopsida	MG	Fabales	383	Fabaceae	623QT	Pseudalbizzia	9CSYT	Pseudalbizzia niopoides	BTSFH	LC
77J2W	Picramnia ramiflora Planch.	77J2W	Picramnia ramiflora Planch.	3	SPECIES	ACCEPTED	Plantae	P	Tracheophyta	TP	Magnoliopsida	MG	Picramniales	3TV	Picramniaceae	625MD	Picramnia	63MBT	Picramnia ramiflora	77J2W	LC
36D5X	Dioscorea pseudomacrocapsa G.M.Barroso, E.F.Guim. & Sucre	36D5X	Dioscorea pseudomacrocapsa G.M.Barroso, E.F.Guim. & Sucre	3	SPECIES	ACCEPTED	Plantae	P	Tracheophyta	TP	Liliopsida	L2L	Dioscoreales	34W	Dioscoreaceae	623Y5	Dioscorea	8VRRX	Dioscorea pseudomacrocapsa	36D5X	LC
3PPRQ	Inga marginata Willd.	3PPRQ	Inga marginata Willd.	5	SPECIES	ACCEPTED	Plantae	P	Tracheophyta	TP	Magnoliopsida	MG	Fabales	383	Fabaceae	623QT	Inga	9CL35	Inga marginata	3PPRQ	LC
6KNTV	Goeppertia sellowii (Körn.) Borchs. & S.Suárez	6KNTV	Goeppertia sellowii (Körn.) Borchs. & S.Suárez	2	SPECIES	ACCEPTED	Plantae	P	Tracheophyta	TP	Liliopsida	L2L	Zingiberales	4C2	Marantaceae	624K3	Goeppertia	8WG2L	Goeppertia sellowii	6KNTV	
6VQN6	Pleopeltis minima (Bory) J.Prado & R.Y.Hirai	6VQN6	Pleopeltis minima (Bory) J.Prado & R.Y.Hirai	6	SPECIES	ACCEPTED	Plantae	P	Tracheophyta	TP	Polypodiopsida	GV	Polypodiales	3VL	Polypodiaceae	627JZ	Pleopeltis	6SH4	Pleopeltis minima	6VQN6	
6KNRB	Goeppertia eichleri (Petersen) Borchs. & S.Suárez	6KNRB	Goeppertia eichleri (Petersen) Borchs. & S.Suárez	1	SPECIES	ACCEPTED	Plantae	P	Tracheophyta	TP	Liliopsida	L2L	Zingiberales	4C2	Marantaceae	624K3	Goeppertia	8WG2L	Goeppertia eichleri	6KNRB	
4F59P	Peritassa campestris (Cambess.) A.C.Sm.	4F59P	Peritassa campestris (Cambess.) A.C.Sm.	1	SPECIES	ACCEPTED	Plantae	P	Tracheophyta	TP	Magnoliopsida	MG	Celastrales	W8	Celastraceae	622JV	Peritassa	6LJ6	Peritassa campestris	4F59P	
4K7MH	Pleopeltis angusta Humb. & Bonpl. ex Willd.	4K7MH	Pleopeltis angusta Humb. & Bonpl. ex Willd.	1	SPECIES	ACCEPTED	Plantae	P	Tracheophyta	TP	Polypodiopsida	GV	Polypodiales	3VL	Polypodiaceae	627JZ	Pleopeltis	6SH4	Pleopeltis angusta	4K7MH	
3KT3L	Hemistylus brasiliensis Wedd. ex Warm.	3KT3K	Hemistylus boehmerioides Benth.	9	SPECIES	SYNONYM	Plantae	P	Tracheophyta	TP	Magnoliopsida	MG	Rosales	3Z6	Urticaceae	HQS	Hemistylus	4VF2	Hemistylus boehmerioides	3KT3K	
35J69	Dicella bracteosa (A.Juss.) Griseb.	35J69	Dicella bracteosa (A.Juss.) Griseb.	4	SPECIES	ACCEPTED	Plantae	P	Tracheophyta	TP	Magnoliopsida	MG	Malpighiales	MLP	Malpighiaceae	CD9	Dicella	44HC	Dicella bracteosa	35J69	
6ZC5	Pseudobombax Dugand	6ZC5	Pseudobombax Dugand	2	GENUS	ACCEPTED	Plantae	P	Tracheophyta	TP	Magnoliopsida	MG	Malvales	3HP	Malvaceae	CDB	Pseudobombax	6ZC5			
564N	Jacquemontia Choisy	564N	Jacquemontia Choisy	2	GENUS	ACCEPTED	Plantae	P	Tracheophyta	TP	Magnoliopsida	MG	Solanales	43W	Convolvulaceae	8J9	Jacquemontia	564N			
6LWMR	Hiraea fagifolia (DC.) A.Juss.	6LWMR	Hiraea fagifolia (DC.) A.Juss.	2	SPECIES	ACCEPTED	Plantae	P	Tracheophyta	TP	Magnoliopsida	MG	Malpighiales	MLP	Malpighiaceae	CD9	Hiraea	4XH5	Hiraea fagifolia	6LWMR	LC
8VWWN	Dichorisandra J.C.Mikan	8VWWN	Dichorisandra J.C.Mikan	2	GENUS	ACCEPTED	Plantae	P	Tracheophyta	TP	Liliopsida	L2L	Commelinales	ZC	Commelinaceae	8GR	Dichorisandra	8VWWN			
4TH8H	Rourea induta Planch.	4TH8H	Rourea induta Planch.	2	SPECIES	ACCEPTED	Plantae	P	Tracheophyta	TP	Magnoliopsida	MG	Oxalidales	3QP	Connaraceae	8HN	Rourea	643XS	Rourea induta	4TH8H	
7BQC4	Teramnus uncinatus (L.) Sw.	7BQC4	Teramnus uncinatus (L.) Sw.	2	SPECIES	ACCEPTED	Plantae	P	Tracheophyta	TP	Magnoliopsida	MG	Fabales	383	Fabaceae	623QT	Teramnus	9CM7H	Teramnus uncinatus	7BQC4	
35MYZ	Dichorisandra rupicola Aona & M.C.E.Amaral	35MYZ	Dichorisandra rupicola Aona & M.C.E.Amaral	1	SPECIES	ACCEPTED	Plantae	P	Tracheophyta	TP	Liliopsida	L2L	Commelinales	ZC	Commelinaceae	8GR	Dichorisandra	8VWWN	Dichorisandra rupicola	35MYZ	
63SM7	Senegalia Raf.	63SM7	Senegalia Raf.	2	GENUS	ACCEPTED	Plantae	P	Tracheophyta	TP	Magnoliopsida	MG	Fabales	383	Fabaceae	623QT	Senegalia	63SM7			
65WRP	Allophylus racemosus (L.) Radlk.	65WRP	Allophylus racemosus (L.) Radlk.	4	SPECIES	ACCEPTED	Plantae	P	Tracheophyta	TP	Magnoliopsida	MG	Sapindales	3ZY	Sapindaceae	FY3	Allophylus	SHF	Allophylus racemosus	65WRP	
3LBQ	Cestrum L.	3LBQ	Cestrum L.	3	GENUS	ACCEPTED	Plantae	P	Tracheophyta	TP	Magnoliopsida	MG	Solanales	43W	Solanaceae	626XM	Cestrum	3LBQ			
3PWNV	Ipomoea parasitica (Kunth) G.Don	3PWNV	Ipomoea parasitica (Kunth) G.Don	2	SPECIES	ACCEPTED	Plantae	P	Tracheophyta	TP	Magnoliopsida	MG	Solanales	43W	Convolvulaceae	8J9	Ipomoea	62WB5	Ipomoea parasitica	3PWNV	
76QGF	Peperomia warmingii C.DC.	76QGF	Peperomia warmingii C.DC.	1	SPECIES	ACCEPTED	Plantae	P	Tracheophyta	TP	Magnoliopsida	MG	Piperales	623FG	Piperaceae	625NL	Peperomia	6KXF	Peperomia warmingii	76QGF	
9D8WV	Lonchocarpus cultratus (Vell.) A.M.G.Azevedo & H.C.Lima	9D8WV	Lonchocarpus cultratus (Vell.) A.M.G.Azevedo & H.C.Lima	6	SPECIES	ACCEPTED	Plantae	P	Tracheophyta	TP	Magnoliopsida	MG	Fabales	383	Fabaceae	623QT	Lonchocarpus	9CL7X	Lonchocarpus cultratus	9D8WV	
35MXP	Dichorisandra hexandra (Aubl.) C.B.Clarke	35MXP	Dichorisandra hexandra (Aubl.) C.B.Clarke	2	SPECIES	ACCEPTED	Plantae	P	Tracheophyta	TP	Liliopsida	L2L	Commelinales	ZC	Commelinaceae	8GR	Dichorisandra	8VWWN	Dichorisandra hexandra	35MXP	
5WR8	Myrsine L.	5WR8	Myrsine L.	4	GENUS	ACCEPTED	Plantae	P	Tracheophyta	TP	Magnoliopsida	MG	Ericales	625QY	Primulaceae	627BN	Myrsine	5WR8			
6PJCR	Leptotes bicolor Lindl.	6PJCR	Leptotes bicolor Lindl.	2	SPECIES	ACCEPTED	Plantae	P	Tracheophyta	TP	Liliopsida	L2L	Asparagales	SP	Orchidaceae	DPL	Leptotes	8VYVG	Leptotes bicolor	6PJCR	
5B49L	Vernonanthura ferruginea (Less.) H.Rob.	5B49L	Vernonanthura ferruginea (Less.) H.Rob.	1	SPECIES	ACCEPTED	Plantae	P	Tracheophyta	TP	Magnoliopsida	MG	Asterales	ST	Asteraceae	622TP	Vernonanthura	647MG	Vernonanthura ferruginea	5B49L	
54TFV	Tapirira obtusa (Benth.) J.D.Mitch.	54TFV	Tapirira obtusa (Benth.) J.D.Mitch.	2	SPECIES	ACCEPTED	Plantae	P	Tracheophyta	TP	Magnoliopsida	MG	Sapindales	3ZY	Anacardiaceae	6CK	Tapirira	7SPW	Tapirira obtusa	54TFV	LC
KKSZ	Banisteriopsis muricata (Cav.) Cuatrec.	KKSZ	Banisteriopsis muricata (Cav.) Cuatrec.	4	SPECIES	ACCEPTED	Plantae	P	Tracheophyta	TP	Magnoliopsida	MG	Malpighiales	MLP	Malpighiaceae	CD9	Banisteriopsis	37V2	Banisteriopsis muricata	KKSZ	
SBGC	Centrosema brasilianum (L.) Benth.	SBGC	Centrosema brasilianum (L.) Benth.	2	SPECIES	ACCEPTED	Plantae	P	Tracheophyta	TP	Magnoliopsida	MG	Fabales	383	Fabaceae	623QT	Centrosema	9CKBG	Centrosema brasilianum	SBGC	
9CL35	Inga Mill.	9CL35	Inga Mill.	4	GENUS	ACCEPTED	Plantae	P	Tracheophyta	TP	Magnoliopsida	MG	Fabales	383	Fabaceae	623QT	Inga	9CL35			
3FYTD	Gibasis geniculata (Jacq.) Rohweder	3FYTD	Gibasis geniculata (Jacq.) Rohweder	1	SPECIES	ACCEPTED	Plantae	P	Tracheophyta	TP	Liliopsida	L2L	Commelinales	ZC	Commelinaceae	8GR	Gibasis	8VXV5	Gibasis geniculata	3FYTD	
588NX	Trichilia claussenii C.DC.	588NX	Trichilia claussenii C.DC.	15	SPECIES	ACCEPTED	Plantae	P	Tracheophyta	TP	Magnoliopsida	MG	Sapindales	3ZY	Meliaceae	CKB	Trichilia	7Z63	Trichilia claussenii	588NX	
TQX3	Chautemsia calcicola A.O.Araujo & V.C.Souza	TQX3	Chautemsia calcicola A.O.Araujo & V.C.Souza	4	SPECIES	ACCEPTED	Plantae	P	Tracheophyta	TP	Magnoliopsida	MG	Lamiales	3F4	Gesneriaceae	623G4	Chautemsia	3MFS	Chautemsia calcicola	TQX3	
56XT2	Tillandsia loliacea Mart. ex Schult. & Schult.f.	56XT2	Tillandsia loliacea Mart. ex Schult. & Schult.f.	4	SPECIES	ACCEPTED	Plantae	P	Tracheophyta	TP	Liliopsida	L2L	Poales	627VM	Bromeliaceae	622GQ	Tillandsia	8W47T	Tillandsia loliacea	56XT2	
3YHX3	Maytenus gonoclados Mart.	6S27C	Monteverdia gonoclada (Mart.) Biral	1	SPECIES	SYNONYM	Plantae	P	Tracheophyta	TP	Magnoliopsida	MG	Celastrales	W8	Celastraceae	622JV	Monteverdia	63CXX	Monteverdia gonoclada	6S27C	
69849	Calliandra foliolosa Benth.	69849	Calliandra foliolosa Benth.	8	SPECIES	ACCEPTED	Plantae	P	Tracheophyta	TP	Magnoliopsida	MG	Fabales	383	Fabaceae	623QT	Calliandra	9CK8N	Calliandra foliolosa	69849	
8GR	Commelinaceae Mirb.	8GR	Commelinaceae Mirb.	1	FAMILY	ACCEPTED	Plantae	P	Tracheophyta	TP	Liliopsida	L2L	Commelinales	ZC	Commelinaceae	8GR					
56Y8Q	Tillandsia streptocarpa Baker	56Y8Q	Tillandsia streptocarpa Baker	1	SPECIES	ACCEPTED	Plantae	P	Tracheophyta	TP	Liliopsida	L2L	Poales	627VM	Bromeliaceae	622GQ	Tillandsia	8W47T	Tillandsia streptocarpa	56Y8Q	
7DT2G	Urera aurantiaca Wedd.	7DT2G	Urera aurantiaca Wedd.	2	SPECIES	ACCEPTED	Plantae	P	Tracheophyta	TP	Magnoliopsida	MG	Rosales	3Z6	Urticaceae	HQS	Urera	855L	Urera aurantiaca	7DT2G	
4LQZ2	Pombalia atropurpurea (A.St.-Hil.) Paula-Souza	4LQZ2	Pombalia atropurpurea (A.St.-Hil.) Paula-Souza	2	SPECIES	ACCEPTED	Plantae	P	Tracheophyta	TP	Magnoliopsida	MG	Malpighiales	MLP	Violaceae	6272Z	Pombalia	63P2J	Pombalia atropurpurea	4LQZ2	
87YHX	Begonia fischeri Schrank	87YHX	Begonia fischeri Schrank	4	SPECIES	ACCEPTED	Plantae	P	Tracheophyta	TP	Magnoliopsida	MG	Cucurbitales	32L	Begoniaceae	7NG4T	Begonia	7NQM3	Begonia fischeri	87YHX	
3HJDP	Guarea macrophylla M.Vahl	3HJDP	Guarea macrophylla M.Vahl	1	SPECIES	ACCEPTED	Plantae	P	Tracheophyta	TP	Magnoliopsida	MG	Sapindales	3ZY	Meliaceae	CKB	Guarea	4RDC	Guarea macrophylla	3HJDP	LC
6M98F	Hippeastrum reticulatum (L'Hér.) Herb.	6M98F	Hippeastrum reticulatum (L'Hér.) Herb.	2	SPECIES	ACCEPTED	Plantae	P	Tracheophyta	TP	Liliopsida	L2L	Asparagales	SP	Amaryllidaceae	694	Hippeastrum	8VY96	Hippeastrum reticulatum	6M98F	
76QWL	Peperomia gardneriana Miq.	76QWL	Peperomia gardneriana Miq.	3	SPECIES	ACCEPTED	Plantae	P	Tracheophyta	TP	Magnoliopsida	MG	Piperales	623FG	Piperaceae	625NL	Peperomia	6KXF	Peperomia gardneriana	76QWL	
6K8J6	Gardnerina angustata (Gardner) R.M.King & H.Rob.	6K8J6	Gardnerina angustata (Gardner) R.M.King & H.Rob.	12	SPECIES	ACCEPTED	Plantae	P	Tracheophyta	TP	Magnoliopsida	MG	Asterales	ST	Asteraceae	622TP	Gardnerina	4M7W	Gardnerina angustata	6K8J6	
4J3R5	Piper crassinervium Kunth	4J3R5	Piper crassinervium Kunth	2	SPECIES	ACCEPTED	Plantae	P	Tracheophyta	TP	Magnoliopsida	MG	Piperales	623FG	Piperaceae	625NL	Piper	6QRC	Piper crassinervium	4J3R5	LC
653FD	Adiantum calcareum Gaertn.	653FD	Adiantum calcareum Gaertn.	2	SPECIES	ACCEPTED	Plantae	P	Tracheophyta	TP	Polypodiopsida	GV	Polypodiales	3VL	Pteridaceae	FCF	Adiantum	P9F	Adiantum calcareum	653FD	
3ZSGZ	Mentzelia aspera L.	3ZSGZ	Mentzelia aspera L.	7	SPECIES	ACCEPTED	Plantae	P	Tracheophyta	TP	Magnoliopsida	MG	Cornales	ZT	Loasaceae	C5K	Mentzelia	5P5Z	Mentzelia aspera	3ZSGZ	
82C7	Triplaris Loefl. ex L.	82C7	Triplaris Loefl. ex L.	2	GENUS	ACCEPTED	Plantae	P	Tracheophyta	TP	Magnoliopsida	MG	Caryophyllales	VW	Polygonaceae	627KD	Triplaris	82C7			
5BYZT	Wilbrandia hibiscoides Silva Manso	5BYZT	Wilbrandia hibiscoides Silva Manso	4	SPECIES	ACCEPTED	Plantae	P	Tracheophyta	TP	Magnoliopsida	MG	Cucurbitales	32L	Cucurbitaceae	8SC	Wilbrandia	87YD	Wilbrandia hibiscoides	5BYZT	
588NL	Trichilia catigua A.Juss.	588NL	Trichilia catigua A.Juss.	4	SPECIES	ACCEPTED	Plantae	P	Tracheophyta	TP	Magnoliopsida	MG	Sapindales	3ZY	Meliaceae	CKB	Trichilia	7Z63	Trichilia catigua	588NL	LC
9XQ8S	Allophylus sericeus (Cambess.) Radlk.	65WRP	Allophylus racemosus (L.) Radlk.	1	SPECIES	AMBIGUOUS_SYNONYM	Plantae	P	Tracheophyta	TP	Magnoliopsida	MG	Sapindales	3ZY	Sapindaceae	FY3	Allophylus	SHF	Allophylus racemosus	65WRP	
N7LB	Brasiliopuntia brasiliensis (Willd.) A.Berger	N7LB	Brasiliopuntia brasiliensis (Willd.) A.Berger	2	SPECIES	ACCEPTED	Plantae	P	Tracheophyta	TP	Magnoliopsida	MG	Caryophyllales	VW	Cactaceae	7HS	Brasiliopuntia	3CVB	Brasiliopuntia brasiliensis	N7LB	LC
3S7LR	Lantana camara L.	3S7LR	Lantana camara L.	3	SPECIES	ACCEPTED	Plantae	P	Tracheophyta	TP	Magnoliopsida	MG	Lamiales	3F4	Verbenaceae	TMFZP	Lantana	99F9H	Lantana camara	3S7LR	
4XZG8	Solanum alternatopinnatum Steud.	4XZG8	Solanum alternatopinnatum Steud.	1	SPECIES	ACCEPTED	Plantae	P	Tracheophyta	TP	Magnoliopsida	MG	Solanales	43W	Solanaceae	626XM	Solanum	63SD9	Solanum alternatopinnatum	4XZG8	
5KFDH	Pilocarpus spicatus subsp. spicatus	5KFDH	Pilocarpus spicatus subsp. spicatus	2	SUBSPECIES	ACCEPTED	Plantae	P	Tracheophyta	TP	Magnoliopsida	MG	Sapindales	3ZY	Rutaceae	626WT	Pilocarpus	6QGL	Pilocarpus spicatus	4HTXN	
NR9KF	Erythrina mulungu Mart.	3BDF8	Erythrina verna Vell.	1	SPECIES	SYNONYM	Plantae	P	Tracheophyta	TP	Magnoliopsida	MG	Fabales	383	Fabaceae	623QT	Erythrina	9CKRG	Erythrina verna	3BDF8	
